CustomerID,total_spend,number_of_orders,average_order_value,recency_days,customer_lifetime_days,purchase_frequency,unique_products,R_score,F_score,M_score,RFM_score,segment
12346.0,77183.6,1,77183.6,325,325,0.003067484662576687,1,1,1,5,7,Potential Loyal Customers
12347.0,4310.0,7,615.7142857142857,1,366,0.01907356948228883,103,5,5,5,15,Champions
12348.0,1797.24,4,449.31,74,357,0.0111731843575419,22,2,4,4,10,Loyal Customers
12349.0,1757.55,1,1757.55,18,18,0.05263157894736842,73,4,1,4,9,Potential Loyal Customers
12350.0,334.4,1,334.4,309,309,0.0032258064516129032,17,1,1,2,4,Lost Customers
12352.0,2506.04,8,313.255,35,296,0.026936026936026935,59,3,5,5,13,Champions
12353.0,89.0,1,89.0,203,203,0.004901960784313725,4,1,1,1,3,Lost Customers
12354.0,1079.4,1,1079.4,231,231,0.004310344827586207,58,1,1,4,6,At Risk
12355.0,459.4,1,459.4,213,213,0.004672897196261682,13,1,1,2,4,Lost Customers
12356.0,2811.43,3,937.1433333333333,22,325,0.009202453987730062,53,4,3,5,12,Loyal Customers
12357.0,6207.67,1,6207.67,32,32,0.030303030303030304,131,4,1,5,10,Loyal Customers
12358.0,1168.06,2,584.03,1,150,0.013245033112582781,13,5,2,4,11,Loyal Customers
12359.0,6372.58,4,1593.145,57,331,0.012048192771084338,214,3,4,5,12,Loyal Customers
12360.0,2662.06,3,887.3533333333334,51,200,0.014925373134328358,105,3,3,5,11,Loyal Customers
12361.0,189.9,1,189.9,286,286,0.003484320557491289,10,1,1,1,3,Lost Customers
12362.0,5226.23,10,522.6229999999999,2,295,0.033783783783783786,201,5,5,5,15,Champions
12363.0,552.0,2,276.0,109,241,0.008264462809917356,23,2,2,3,7,Potential Loyal Customers
12364.0,1313.1,4,328.275,7,111,0.03571428571428571,70,5,4,4,13,Champions
12365.0,641.38,2,320.69,290,290,0.006872852233676976,22,1,2,3,6,At Risk
12367.0,168.9,1,168.9,3,3,0.25,11,5,1,1,7,Potential Loyal Customers
12370.0,3545.69,4,886.4225,50,359,0.011111111111111112,143,3,4,5,12,Loyal Customers
12371.0,1887.96,2,943.98,44,59,0.03333333333333333,63,3,2,4,9,Potential Loyal Customers
12372.0,1298.04,3,432.68,71,296,0.010101010101010102,34,3,3,4,10,Loyal Customers
12373.0,364.6,1,364.6,310,310,0.003215434083601286,14,1,1,2,4,Lost Customers
12374.0,742.9300000000001,1,742.9300000000001,24,24,0.04,33,4,1,3,8,Potential Loyal Customers
12375.0,457.5,2,228.75,10,97,0.02040816326530612,14,5,2,2,9,Potential Loyal Customers
12377.0,1628.12,2,814.06,314,354,0.005633802816901409,72,1,2,4,7,Potential Loyal Customers
12378.0,4008.62,1,4008.62,129,129,0.007692307692307693,219,2,1,5,8,Potential Loyal Customers
12379.0,852.24,2,426.12,81,169,0.011764705882352941,39,2,2,3,7,Potential Loyal Customers
12380.0,2724.81,4,681.2025,21,185,0.021505376344086023,77,4,4,5,13,Champions
12381.0,1845.31,5,369.062,4,119,0.041666666666666664,70,5,4,4,13,Champions
12383.0,1850.56,5,370.11199999999997,184,351,0.014204545454545454,84,1,4,4,9,Potential Loyal Customers
12384.0,585.27,2,292.635,28,121,0.01639344262295082,26,4,2,3,9,Potential Loyal Customers
12386.0,401.9,2,200.95,337,366,0.005449591280653951,10,1,2,2,5,At Risk
12388.0,2780.66,6,463.4433333333333,15,326,0.01834862385321101,57,4,4,5,13,Champions
12390.0,549.84,1,549.84,79,79,0.0125,32,2,1,3,6,At Risk
12391.0,460.89,1,460.89,21,21,0.045454545454545456,92,4,1,2,7,Potential Loyal Customers
12393.0,1582.6000000000001,4,395.65000000000003,71,332,0.012012012012012012,47,3,4,4,11,Loyal Customers
12394.0,1272.48,2,636.24,63,216,0.009216589861751152,26,3,2,4,9,Potential Loyal Customers
12395.0,3018.63,12,251.5525,18,370,0.03234501347708895,91,4,5,5,14,Champions
12397.0,2409.9,2,1204.95,35,134,0.014814814814814815,110,3,2,5,10,Loyal Customers
12398.0,1635.6599999999999,1,1635.6599999999999,45,45,0.021739130434782608,85,3,1,4,8,Potential Loyal Customers
12399.0,1108.65,4,277.1625,118,261,0.015267175572519083,47,2,4,4,10,Loyal Customers
12401.0,84.3,1,84.3,302,302,0.0033003300330033004,5,1,1,1,3,Lost Customers
12402.0,225.6,1,225.6,322,322,0.0030959752321981426,11,1,1,1,3,Lost Customers
12403.0,427.7,1,427.7,49,49,0.02,5,3,1,2,6,At Risk
12405.0,1710.39,1,1710.39,148,148,0.006711409395973154,54,2,1,4,7,Potential Loyal Customers
12406.0,3415.3,2,1707.65,21,183,0.010869565217391304,92,4,2,5,11,Loyal Customers
12407.0,1708.1200000000001,5,341.624,49,263,0.01893939393939394,57,3,4,4,11,Loyal Customers
12408.0,2888.55,5,577.71,32,259,0.019230769230769232,81,4,4,5,13,Champions
12409.0,11072.67,3,3690.89,78,182,0.01639344262295082,91,2,3,5,10,Loyal Customers
12410.0,693.3299999999999,2,346.66499999999996,308,308,0.006472491909385114,26,1,2,3,6,At Risk
12412.0,1226.88,3,408.96000000000004,74,168,0.01775147928994083,43,2,3,4,9,Potential Loyal Customers
12413.0,758.1,3,252.70000000000002,66,336,0.008902077151335312,29,3,3,3,9,Potential Loyal Customers
12414.0,562.41,3,187.47,216,309,0.00967741935483871,16,1,3,3,7,Potential Loyal Customers
12415.0,124914.53,21,5948.310952380953,23,337,0.0621301775147929,444,4,5,5,14,Champions
12417.0,3649.1,9,405.4555555555555,2,357,0.025139664804469275,158,5,5,5,15,Champions
12418.0,668.58,1,668.58,112,112,0.008849557522123894,34,2,1,3,6,At Risk
12420.0,600.39,1,600.39,63,63,0.015625,29,3,1,3,7,Potential Loyal Customers
12421.0,807.04,4,201.76,15,318,0.012539184952978056,32,4,4,3,11,Loyal Customers
12422.0,803.5600000000001,3,267.85333333333335,95,324,0.009230769230769232,39,2,3,3,8,Potential Loyal Customers
12423.0,1859.31,8,232.41375,0,353,0.022598870056497175,97,5,5,4,14,Champions
12424.0,1760.96,2,880.48,162,162,0.012269938650306749,30,2,2,4,8,Potential Loyal Customers
12425.0,777.2,1,777.2,77,77,0.01282051282051282,36,2,1,3,6,At Risk
12426.0,582.73,1,582.73,194,194,0.005128205128205128,30,1,1,3,5,At Risk
12427.0,825.8,3,275.26666666666665,21,371,0.008064516129032258,26,4,3,3,10,Loyal Customers
12428.0,7956.46,9,884.0511111111111,25,283,0.03169014084507042,258,4,5,5,14,Champions
12429.0,3750.4,4,937.6,8,365,0.01092896174863388,82,5,4,5,14,Champions
12430.0,256.4,1,256.4,42,42,0.023255813953488372,11,3,1,2,6,At Risk
12431.0,6487.45,15,432.49666666666667,35,373,0.040106951871657755,163,3,5,5,13,Champions
12432.0,5059.32,5,1011.8639999999999,42,171,0.029069767441860465,107,3,4,5,12,Loyal Customers
12433.0,13375.87,7,1910.8385714285716,0,372,0.01876675603217158,219,5,5,5,15,Champions
12434.0,806.14,2,403.07,84,259,0.007692307692307693,46,2,2,3,7,Potential Loyal Customers
